chrom	start	end	strand	count
chr1	15937390	15937487	+	22
chr1	26863671	26863780	+	2
chr1	32770110	32770221	+	45
chr1	46668106	46668269	-	1
chr1	150470980	150471883	+	20
chr1	150471742	150471883	+	52
chr1	244054475	244054588	+	49
chr10	75235288	75235325	-	1
chr10	119042167	119042288	-	8
chr10	119042185	119042276	-	18
chr11	46307907	46307982	+	2
chr11	57312935	57313509	-	20
chr11	62519937	62520322	-	2
chr11	62521713	62522482	-	7
chr11	66858217	66858304	+	2
chr11	72099145	72099189	-	1
chr11	75587648	75587748	-	10
chr11	117203360	117203406	+	2
chr11	129869912	129870180	-	28
chr12	6529842	6529918	+	1
chr12	7081128	7081216	-	46
chr12	112408539	112408597	-	3
chr12	124911822	124912735	-	52
chr12	124911899	124912584	-	47
chr12	124912583	124913268	-	23
chr12	124912734	124912963	-	40
chr12	124913320	124913549	-	49
chr13	45340120	45340166	-	1
chr13	110186408	110186481	-	3
chr14	91313424	91313572	-	2
chr15	43795051	43795088	-	1
chr16	2089989	2090129	-	20
chr16	2971684	2971886	+	24
chr16	3728917	3729026	-	4
chr16	4461828	4461867	-	1
chr17	413623	413684	+	4
chr17	8141130	8141182	-	2
chr17	35844818	35844840	+	28
chr17	35844935	35845011	+	8
chr17	35844986	35845011	+	10
chr17	42852517	42852646	+	2
chr19	4511634	4512427	-	46
chr19	4512437	4512537	-	10
chr19	11364449	11364672	+	13
chr19	12943802	12943845	+	1
chr19	20544707	20544960	-	32
chr19	20624298	20624382	-	46
chr19	39539570	39540002	-	8
chr19	40441781	40441920	-	20
chr19	45145757	45145876	+	1
chr19	52613592	52613761	-	3
chr2	176131459	176131538	+	19
chr2	230444229	230444255	+	1
chr2	235041037	235041362	+	11
chr20	17659087	17659118	-	52
chr20	17659087	17659298	-	41
chr21	46003956	46003984	+	1
chr21	46132066	46132160	+	10
chr22	22759002	22759090	+	2
chr22	24177647	24177783	+	5
chr22	29489593	29489618	+	41
chr3	39143846	39143886	-	1
chr3	40462100	40462183	+	1
chr3	42638906	42638988	+	18
chr3	195786889	195788570	-	3
chr4	82373597	82373631	-	1
chr5	141350299	141351314	+	1
chr5	141640002	141640177	+	9
chr5	154966742	154966865	+	1
chr5	160349559	160349764	-	23
chr5	180850175	180850582	-	1
chr6	44255368	44255569	-	5
chr7	1444874	1445125	-	8
chr7	44114072	44114097	+	14
chr7	99359614	99359644	+	1
chr7	99928914	99929381	-	18
chr7	99928914	99929488	-	28
chr7	134933741	134933795	+	14
chr8	144882297	144882447	-	2
chr9	136474486	136475198	-	40
chr9	137187553	137187662	-	3
chrX	71223720	71223970	+	1
chrX	100833280	100833326	+	1
chrX	154400533	154400585	+	1
chr1	11923115	11923191	-	19
chr1	32334659	32334705	-	1
chr1	150579020	150579058	-	1
chr1	151306152	151306224	-	1
chr1	204409587	204410079	-	3
chr1	205663205	205663380	-	1
chr11	62520070	62520455	-	19
chr11	62522718	62523325	-	1
chr11	62525637	62526308	-	1
chr11	62529880	62530265	-	5
chr11	72013380	72013480	-	2
chr11	72013512	72013544	-	1
chr11	72013767	72013804	-	6
chr11	117281965	117282165	+	18
chr12	10882338	10882441	-	2
chr12	52514956	52515136	-	1
chr12	52898809	52898885	-	9
chr12	106067769	106067877	-	9
chr12	124911952	124912637	-	38
chr12	124912734	124912812	-	1
chr12	124912962	124913191	-	47
chr14	104948409	104949895	-	4
chr15	40899208	40899840	+	20
chr15	75649345	75649561	+	18
chr16	2530703	2530885	-	26
chr16	2766398	2766471	+	6
chr16	30768322	30768450	+	16
chr16	51646517	51646584	+	2
chr16	69120010	69120059	-	1
chr17	4034147	4034239	-	3
chr17	4948415	4948457	-	1
chr17	35844770	35844987	+	7
chr17	35844818	35844861	+	21
chr17	41505315	41505511	-	1
chr17	59213421	59213513	+	2
chr17	82081224	82081276	-	8
chr19	4511906	4512204	-	13
chr19	16749818	16749923	+	15
chr19	37363554	37363639	+	3
chr19	41892658	41892749	+	1
chr19	42080890	42080975	+	1
chr19	47754550	47754575	+	1
chr19	50482643	50482677	+	4
chr19	50856310	50856339	+	5
chr19	50858157	50858205	+	1
chr19	57399207	57399292	+	1
chr19	58549480	58549512	+	2
chr2	85327226	85327311	-	14
chr2	85327260	85327303	-	4
chr20	17658944	17659695	-	1
chr20	17659574	17659605	-	5
chr20	34757352	34757674	-	6
chr20	45480023	45480067	+	6
chr22	29480844	29480887	+	13
chr22	29489035	29489103	+	1
chr22	29489251	29489312	+	16
chr22	29489269	29489372	+	32
chr22	29489371	29489432	+	15
chr22	29489371	29489534	+	19
chr22	29489964	29490023	+	9
chr22	29490259	29490323	+	1
chr22	29490259	29490380	+	15
chr3	195784585	195784730	-	18
chr3	195788377	195788474	-	9
chr4	6640904	6640926	+	1
chr6	11190748	11190872	-	6
chr6	31631758	31632101	+	1
chr6	33203756	33203779	+	1
chr6	34544157	34544228	-	1
chr6	35469447	35469484	+	1
chr6	43187734	43187909	+	2
chr6	170318511	170318692	+	1
chr7	43878079	43878209	-	1
chr7	73303914	73303987	-	19
chr7	99967167	99967192	-	1
chr7	100677527	100677605	+	4
chr7	112784094	112784725	-	9
chr8	18222257	18222381	+	9
chr8	94940013	94940095	-	3
chr8	143576674	143576771	-	2
chr8	144516069	144516166	-	8
chr9	137192574	137192611	-	1
chr9	137243448	137243515	+	1
chrX	71101385	71101534	+	10
chr1	16251163	16251191	-	1
chr1	27882442	27882528	+	1
chr1	156670617	156670654	-	2
chr1	171557872	171557918	+	1
chr1	200850009	200850125	+	2
chr1	201210990	201211315	+	1
chr1	201900250	201900347	-	9
chr10	5747115	5749879	+	1
chr10	73516533	73516957	-	1
chr10	73760065	73760164	+	6
chr10	73792553	73792656	+	22
chr10	101521793	101521848	+	1
chr11	59211782	59212413	-	2
chr11	62519937	62520028	-	3
chr11	62520768	62525416	-	1
chr11	62527590	62527975	-	1
chr11	62529274	62529881	-	5
chr11	62529829	62530397	-	1
chr11	62529916	62532200	-	8
chr12	884975	885960	+	4
chr12	124912349	124912409	-	2
chr12	124912734	124913419	-	1
chr12	124913495	124913549	-	1
chr14	22920929	22921045	-	16
chr14	104950302	104952778	-	5
chr15	43525796	43525881	+	6
chr15	43535039	43535196	-	1
chr15	75676003	75677269	-	1
chr16	2765948	2766231	+	1
chr16	28495968	28496128	+	1
chr16	56364024	56364046	-	1
chr16	72788291	72788409	-	1
chr17	413683	413924	+	3
chr17	7466138	7466179	-	1
chr17	16381988	16382169	+	1
chr17	28881278	28881345	-	4
chr17	35844962	35844987	+	6
chr17	80104908	80104941	+	1
chr19	9610976	9611066	-	19
chr19	10396050	10396087	-	1
chr19	11193419	11193441	-	1
chr19	35267145	35267281	+	1
chr19	49932750	49932866	+	1
chr19	50860014	50860058	+	2
chr2	24819949	24820062	-	3
chr2	85327273	85327400	-	15
chr2	108766047	108766165	+	9
chr2	181915414	181915922	+	16
chr2	206310436	206310783	+	4
chr20	17658920	17659575	-	1
chr20	17659403	17659614	-	1
chr20	47635980	47636314	+	5
chr20	52152679	52152749	-	1
chr22	29489371	29489414	+	5
chr22	37805997	37806070	+	1
chr3	13570970	13571316	+	13
chr3	51993820	51993879	-	5
chr3	56617400	56617530	+	3
chr3	112639001	112639177	-	1
chr3	125020908	125021003	-	2
chr3	151294289	151294926	-	4
chr5	87268654	87268720	+	1
chr5	91375079	91375117	-	1
chr5	137753360	137753433	-	7
chr6	31628088	31628128	+	1
chr6	42105949	42106010	-	2
chr6	170318475	170318548	+	3
chr7	100431137	100431196	+	2
chr7	134933469	134933509	+	6
chr7	134933783	134933837	+	8
chr8	143984644	143984719	-	1
chr9	115059811	115059855	-	1
chr9	128753287	128753421	-	5
chrX	48458764	48458914	-	8
chrX	65737254	65737282	+	1
chrX	108597395	108597498	+	1
chrX	136511126	136511208	+	1
chr1	16986117	16986225	-	1
chr1	20637941	20638032	+	1
chr1	201900470	201900527	-	1
chr11	6395198	6395256	-	3
chr11	57660824	57661126	+	1
chr11	62520898	62521001	-	4
chr11	62522998	62525345	-	7
chr11	62523027	62523634	-	5
chr11	62524861	62530550	-	3
chr11	62524861	62526398	-	1
chr11	72013602	72013624	-	2
chr11	75587681	75587748	-	8
chr12	124913039	124913268	-	3
chr12	124913190	124913419	-	44
chr12	124913440	124913669	-	7
chr13	20082848	20082947	+	5
chr15	70055139	70055212	-	3
chr15	75505822	75505937	-	1
chr16	31132797	31132881	-	1
chr17	4542999	4543125	-	4
chr17	16381988	16382011	+	1
chr17	35844776	35844942	+	3
chr17	35844935	35844987	+	6
chr17	81252242	81252302	-	6
chr17	82085689	82085770	-	1
chr19	2248318	2248361	+	3
chr19	7520304	7520389	+	3
chr19	12943802	12943875	+	1
chr19	42248983	42249469	-	1
chr19	50858095	50858207	+	1
chr19	50878446	50878536	+	2
chr2	85327092	85327261	-	1
chr20	2483459	2483628	-	1
chr20	41361309	41361364	-	1
chr22	19968593	19968673	+	1
chr22	29489533	29489618	+	2
chr22	29489845	29489993	+	1
chr3	51993826	51993885	-	1
chr6	30602148	30602245	-	3
chr6	31779122	31779212	-	15
chr6	46167634	46168176	-	9
chr7	5313252	5313334	-	1
chr7	100612824	100612976	+	10
chr9	128178952	128179037	-	11
chr9	128179084	128179127	-	3
chrX	51896596	51896633	+	3
chr1	1437178	1437217	+	1
chr1	31364139	31364188	+	1
chr1	113980439	113980497	+	3
chr1	153662455	153662501	-	1
chr1	201900470	201900521	-	2
chr11	418405	418509	-	8
chr11	57308977	57309125	-	1
chr11	62525488	62526257	-	15
chr11	64767738	64767760	-	8
chr12	9072724	9072797	-	1
chr12	124912583	124912865	-	2
chr12	124912636	124912735	-	1
chr12	124912636	124912812	-	2
chr13	45340105	45340166	-	8
chr14	68789668	68790165	-	9
chr15	75206734	75207103	+	18
chr15	78590104	78590227	+	3
chr16	24931030	24931200	-	1
chr16	28342783	28342826	-	1
chr16	67542314	67543079	+	2
chr17	31975501	31975649	+	3
chr17	35844749	35844816	+	8
chr17	41505339	41505376	-	1
chr17	41582440	41582501	-	4
chr19	4422637	4422659	+	1
chr19	6436336	6436422	-	2
chr19	7519968	7520137	+	8
chr19	11364449	11364654	+	5
chr19	46411789	46411862	-	1
chr2	3479287	3479405	+	2
chr2	33585278	33585312	-	1
chr2	74461639	74461934	-	1
chr2	173955962	173956011	-	1
chr20	17659304	17659515	-	1
chr20	17659364	17659575	-	1
chr20	34740517	34741558	-	1
chr20	44115733	44115767	-	1
chr21	36146224	36146308	+	1
chr22	29489478	29489618	+	2
chr22	29490421	29490521	+	1
chr22	37805829	37805980	+	2
chr4	1171921	1172036	-	1
chr5	180850432	180850582	-	2
chr7	72965983	72966146	-	2
chr7	100612824	100612916	+	2
chr9	19378819	19378843	-	2
chr9	137108859	137109020	+	1
chr1	36177890	36177953	+	5
chr1	46361644	46361769	+	1
chr1	145912396	145912439	-	1
chr1	150286619	150286731	+	7
chr1	155015326	155015436	+	10
chr1	184795309	184795390	-	2
chr10	44984835	44984889	+	1
chr11	1013560	1013612	-	5
chr11	1016856	1017364	-	10
chr11	1017148	1017821	-	5
chr11	1017363	1018036	-	11
chr11	62520070	62520398	-	6
chr11	62522766	62522845	-	1
chr11	72012939	72012985	-	1
chr11	72015861	72016033	-	1
chr11	75587450	75587715	-	1
chr11	125895293	125895670	-	2
chr12	18346654	18346789	+	3
chr12	49040701	49040759	-	1
chr12	52055109	52055222	+	2
chr14	23359498	23359783	-	2
chr14	104948817	104949313	-	1
chr15	99129950	99130053	+	1
chr16	2896608	2896684	+	4
chr16	28866386	28866504	+	1
chr16	67542500	67542543	+	2
chr17	81252242	81252299	-	3
chr19	2248276	2248361	+	2
chr19	3979846	3979928	-	2
chr19	12948212	12948237	+	6
chr19	24127779	24127864	+	2
chr19	39840694	39840734	-	3
chr2	85327226	85327521	-	1
chr20	17658770	17658801	-	2
chr20	17658860	17658921	-	5
chr20	17659004	17659245	-	1
chr20	17659394	17659515	-	1
chr20	17659574	17659755	-	2
chr20	17659724	17659905	-	6
chr20	45207835	45208554	+	2
chr20	45207847	45207873	+	1
chr20	45208207	45208267	+	2
chr20	45208207	45208262	+	4
chr20	45208207	45208400	+	7
chr20	45208234	45208267	+	5
